sr40        sr50         sr60         sr70         sr80         sr90       
-7.008460  -7.120774    -7.221033    -8.068714   -10.615740   -23.422436 
-7.008460  -7.117062    -7.217345    -8.144055   -10.442914   -23.783901 
-7.008460  -7.116659    -7.213468    -8.135338   -10.310952   -24.689854 
-7.008460  -7.110334    -7.186509    -8.105175   -10.170109   -24.141121 
-7.008460  -7.109754    -7.180827    -8.008284   -10.106996   -24.047569 
-7.008460  -7.108994    -7.168351    -7.902987   -10.298788   -24.047569 
-7.008460  -7.107806    -7.165665    -7.879735   -10.345591   -23.717220 
-7.008460  -7.106126    -7.172727    -7.815072   -10.200395   -24.054249 
-7.008460  -7.102761    -7.165560    -7.781645   -10.193173   -23.941267 
-7.008460  -7.103575    -7.150645    -7.791518    -9.903271   -23.895113 
-7.006898  -7.101185    -7.142045    -7.788526    -9.832750   -23.614666 
-6.999995  -7.100680    -7.137442    -7.764631    -9.653066   -23.549595 
-6.999953  -7.099728    -7.131635    -7.737881    -9.491669   -22.957554 
-6.999022  -7.095259    -7.127071    -7.706223    -9.410809   -23.549595 
-6.998724  -7.095259    -7.122907    -7.633462    -9.366961   -23.341993 
-6.997663  -7.093644    -7.122582    -7.610694    -9.375486   -22.765966 
-6.997504  -7.089258    -7.116846    -7.482014    -9.307859   -22.854698 
-6.995118  -7.088661    -7.116052    -7.482014    -9.307859   -23.134109 
-6.995118  -7.086793    -7.116052    -7.463171    -9.357900   -22.032322 
-6.994734  -7.086793    -7.113281    -7.458122    -9.290677   -21.827023 
-6.994212  -7.086141    -7.113425    -7.437970    -9.223563   -20.739626 
-6.990794  -7.085340    -7.112312    -7.380047    -9.067657   -21.409039 
-6.990794  -7.083682    -7.108957    -7.345300    -9.078355   -21.409039 
-6.990794  -7.083488    -7.108957    -7.294688    -9.008014   -22.488741 
-6.989457  -7.083256    -7.108964    -7.292756    -8.977711   -22.595509 
-6.987426  -7.083256    -7.108123    -7.234758    -8.904314   -22.584551 
-6.984675  -7.083063    -7.108070    -7.205796    -8.975972   -22.426365 
-6.983895  -7.082141    -7.105335    -7.191352    -8.993680   -22.336451 
-6.981580  -7.081197    -7.100587    -7.256905    -8.986511   -22.336451 
-6.979954  -7.081159    -7.099296    -7.176967    -8.926350   -21.438633 
-6.979954  -7.081217    -7.097243    -7.070203    -8.878466   -21.368963 
-6.979954  -7.080591    -7.090851    -7.066897    -8.878466   -21.096628 
-6.979954  -7.080591    -7.091331    -7.056845    -8.875797   -21.550396 
-6.977458  -7.079665    -7.090411    -7.053280    -8.774817   -21.808914 
-6.977458  -7.079454    -7.084728    -7.021421    -8.797668   -22.040848 
-6.977458  -7.078103    -7.082742    -7.003171    -8.801437   -21.834116 
-6.977458  -7.077620    -7.081249    -7.002120    -8.806161   -21.560678 
-6.976512  -7.077620    -7.079986    -6.990479    -8.758051   -21.513880 
-6.976512  -7.077505    -7.079767    -7.008816    -8.664006   -21.586359 
-6.976512  -7.075883    -7.080655    -6.976089    -8.663594   -20.978205 
-6.976512  -7.075883    -7.078186    -6.963219    -8.524918   -21.118134 
-6.976312  -7.075883    -7.077135    -6.986570    -8.571898   -20.978012 
-6.976312  -7.075883    -7.076060    -6.966811    -8.521730   -21.029348 
-6.974498  -7.076105    -7.075484    -6.962879    -8.558202   -21.361614 
-6.973413  -7.076081    -7.070632    -6.948117    -8.458448   -21.503962 
-6.971938  -7.075316    -7.070827    -6.943919    -8.439265   -21.075361 
-6.971938  -7.075316    -7.071399    -6.937931    -8.339630   -21.164099 
-6.971938  -7.073868    -7.071124    -6.921538    -8.307292   -20.704657 
-6.970862  -7.073098    -7.071124    -6.913764    -8.250751   -20.696693 
-6.964516  -7.073087    -7.069582    -6.906785    -8.219952   -20.801683 
-6.963782  -7.071547    -7.069582    -6.901395    -8.207178   -20.986012 
-6.962977  -7.071547    -7.068434    -6.862254    -8.218260   -20.899408 
-6.962977  -7.071264    -7.067949    -6.857953    -8.102439   -21.040834 
-6.962977  -7.071264    -7.066748    -6.837772    -8.079945   -20.868732 
-6.962977  -7.071264    -7.066748    -6.825400    -8.071282   -21.144907 
-6.962977  -7.071264    -7.064750    -6.820786    -8.012734   -20.851597 
-6.962327  -7.069950    -7.063004    -6.829164    -8.001365   -20.056112 
-6.962327  -7.069950    -7.060397    -6.816894    -7.893951   -20.056112 
-6.962327  -7.069650    -7.059737    -6.811397    -7.828961   -20.174414 
-6.962327  -7.069650    -7.059737    -6.809852    -7.829002   -19.844376 
-6.961514  -7.069650    -7.059737    -6.802228    -7.839839   -19.931566 
-6.960788  -7.069650    -7.055489    -6.788223    -7.802956   -19.702394 
-6.960788  -7.069650    -7.055489    -6.779482    -7.787601   -19.320890 
-6.960788  -7.069650    -7.055489    -6.771695    -7.772916   -19.573919 
-6.956012  -7.069650    -7.055489    -6.726445    -7.745875   -19.573919 
-6.956012  -7.069650    -7.055489    -6.731828    -7.714750   -19.573919 
-6.956762  -7.069650    -7.056795    -6.726861    -7.690221   -19.397545 
-6.956762  -7.069650    -7.055371    -6.724020    -7.652027   -19.853455 
-6.956762  -7.069650    -7.055371    -6.718696    -7.677299   -20.018036 
-6.956012  -7.069650    -7.051309    -6.711794    -7.664194   -19.967600 
-6.955907  -7.069650    -7.051312    -6.706393    -7.656806   -19.965694 
-6.955907  -7.069650    -7.050644    -6.704509    -7.594306   -20.318546 
-6.955185  -7.069650    -7.047442    -6.703498    -7.596802   -20.429377 
-6.955185  -7.069650    -7.047433    -6.693524    -7.508264   -20.199402 
-6.955185  -7.069287    -7.047433    -6.686091    -7.494410   -19.769323 
-6.954784  -7.069287    -7.048112    -6.686361    -7.496217   -19.626648 
-6.954784  -7.069287    -7.048046    -6.680677    -7.479037   -19.204569 
-6.954784  -7.069287    -7.043199    -6.677302    -7.474240   -19.006760 
-6.954784  -7.064923    -7.043199    -6.678503    -7.458898   -19.226042 
-6.954784  -7.063792    -7.043185    -6.678118    -7.462106   -18.672754 
-6.954784  -7.063792    -7.043185    -6.673667    -7.481762   -18.787693 
-6.954784  -7.063792    -7.042333    -6.654285    -7.428570   -18.592319 
-6.954784  -7.063789    -7.042333    -6.649497    -7.427274   -19.061928 
-6.954784  -7.063789    -7.041083    -6.646385    -7.429439   -19.126812 
-6.954784  -7.063792    -7.041083    -6.642899    -7.415648   -19.268972 
-6.954784  -7.063789    -7.041083    -6.642899    -7.420627   -19.268972 
-6.954784  -7.062545    -7.040686    -6.640044    -7.353461   -19.301435 
-6.954784  -7.053529    -7.039783    -6.637563    -7.325529   -19.000683 
-6.954784  -7.053529    -7.039670    -6.636132    -7.331064   -18.987631 
-6.954784  -7.053529    -7.038003    -6.648243    -7.388659   -19.028025 
-6.954784  -7.053529    -7.038003    -6.647019    -7.391468   -18.931082 
-6.954784  -7.043010    -7.037590    -6.642700    -7.402144   -19.024769 
-6.954784  -7.043010    -7.037383    -6.635452    -7.402144   -18.965015 
-6.954784  -7.043010    -7.036653    -6.640399    -7.442147   -18.747143 
-6.954784  -7.043010    -7.036517    -6.638371    -7.299258   -18.757671 
-6.954784  -7.041410    -7.034575    -6.634720    -7.349068   -18.587650 
-6.954784  -7.041278    -7.033597    -6.629295    -7.336833   -18.700640 
-6.954784  -7.041278    -7.033597    -6.624309    -7.300745   -18.655548 
-6.954784  -7.035206    -7.034063    -6.620941    -7.292281   -18.544113 
-6.954784  -7.035206    -7.034013    -6.619012    -7.289170   -18.380188 
-6.954784  -7.034007    -7.033025    -6.612380    -7.274251   -18.635023 
-6.954784  -7.034007    -7.033025    -6.612523    -7.265863   -18.615339 
-6.954784  -7.034007    -7.032630    -6.612050    -7.262305   -18.599228 
-6.953660  -7.034007    -7.033025    -6.610798    -7.221645   -18.293552 
-6.953660  -7.034007    -7.032362    -6.609952    -7.216640   -18.413363 
-6.953660  -7.034007    -7.031835    -6.610044    -7.209953   -18.315491 
-6.953660  -7.034007    -7.031779    -6.607551    -7.186751   -17.883093 
-6.953660  -7.034007    -7.031641    -6.608048    -7.134599   -17.538914 
-6.953660  -7.034007    -7.031641    -6.603616    -7.127850   -17.532572 
-6.953660  -7.034007    -7.030697    -6.603111    -7.128306   -17.352182 
-6.953660  -7.034007    -7.030697    -6.592999    -7.128276   -17.216940 
-6.953660  -7.034007    -7.031278    -6.593616    -7.054398   -17.163736 
-6.952384  -7.034007    -7.031278    -6.597753    -7.197423   -17.775818 
-6.952033  -7.034007    -7.031278    -6.596756    -7.198091   -17.657995 
-6.952033  -7.034007    -7.031278    -6.596756    -7.176230   -17.435562 
