pop50        pop100        pop200      pop300       pop400         pop500
-19.582527   -17.403561    -12.914557  -11.006099   -11.1073067  -9.814288
-19.540651   -17.028500    -12.569053  -10.997528   -10.8637837  -9.814288
-19.430948   -17.054096    -12.724169  -10.879484   -10.8673343  -9.822128
-19.407177   -17.030987    -12.746387  -10.810143   -10.8731771  -9.793677
-19.178535   -17.145660    -12.827951  -10.834555   -10.5323081  -9.793677
-18.856550   -17.050388    -12.651980  -10.772844   -10.1150971  -9.642764
-18.354496   -16.983963    -12.387466  -10.674285   -9.9700781   -9.528013
-17.868835   -16.772001    -12.327757  -10.555681   -10.1945441  -9.376753
-17.861662   -16.582325    -12.162387  -10.476307   -10.0093731  -9.395726
-17.932663   -16.112329    -11.929368  -10.322625   -10.0927311  -9.174542
-17.983576   -16.102787    -11.749933  -10.314926   -10.2358002  -9.148848
-17.977869   -16.442749    -11.536237  -10.074524   -10.2752632  -9.148229
-17.864195   -16.226624    -11.415195  -9.963947    -10.151291   -9.085088
-17.593843   -15.934110    -11.220354  -9.846307    -10.218353   -8.881281
-17.383482   -15.373421    -11.317091  -9.533358    -10.217749   -8.877017
-17.637142   -15.090159    -11.287474  -9.572172    -10.065771   -8.858325
-17.413181   -15.480043    -11.287474  -9.538446    -9.714345    -8.803375
-17.221363   -15.432796    -11.160208  -9.650182    -9.664673    -8.407001
-17.098913   -15.331907    -10.963233  -9.574881    -9.568398    -8.411947
-17.069872   -14.823611    -10.709654  -9.566398    -9.505750    -8.615211
-16.987827   -14.823611    -10.751308  -9.504961    -9.461531    -8.576285
-16.540524   -14.815012    -10.824183  -9.439662    -9.313360    -8.507410
-16.481400   -14.873674    -10.889895  -9.357580    -9.457170    -8.443727
-16.457983   -14.462700    -10.778276  -9.313184    -9.397505    -8.323120
-16.475716   -14.447214    -10.799932  -9.324831    -9.357788    -8.305493
-16.572054   -14.612421    -10.727839  -8.993152    -9.443338    -8.286226
-16.549465   -14.605164    -10.556554  -9.007177    -9.380311    -8.159304
-16.127995   -14.711477    -10.525610  -8.949981    -9.359911    -8.118567
-16.119604   -14.546445    -10.514050  -8.936140    -9.179254    -8.106894
-15.983412   -14.726506    -10.374070  -8.948606    -9.081083    -8.240072
-15.846240   -14.680193    -9.560869   -8.939863    -8.855464    -8.178717
-15.571604   -14.679083    -9.652868   -8.800295    -8.826509    -8.288833
-15.425008   -14.668292    -9.422413   -8.849857    -8.835724    -8.231026
-15.329773   -14.354952    -9.439937   -8.783064    -8.855213    -8.214281
-15.314493   -14.346809    -9.340290   -8.707893    -8.831308    -8.196182
-15.133821   -14.179178    -9.356344   -8.707628    -8.913478    -8.205706
-15.094362   -14.102163    -9.360095   -8.634141    -8.919533    -8.204923
-14.777954   -13.874849    -9.257668   -8.593315    -8.899994    -8.278872
-14.742224   -13.769445    -9.231644   -8.562941    -8.798903    -8.294664
-14.714043   -13.732516    -9.178512   -8.507158    -8.767008    -8.294664
-14.705770   -13.668056    -9.173558   -8.491584    -8.777369    -8.233338
-14.707820   -13.673961    -9.011827   -8.460519    -8.736586    -8.262714
-14.689697   -13.495358    -8.943764   -8.429536    -8.746473    -8.171601
-14.688452   -13.538651    -8.979550   -8.286823    -8.716954    -8.033625
-14.678154   -13.356562    -8.964220   -8.283678    -8.622281    -8.037577
-14.673685   -13.278870    -8.903189   -8.339038    -8.579993    -7.967092
-14.630775   -13.079030    -8.819880   -8.356917    -8.558319    -7.944598
-14.214976   -13.174558    -8.791700   -8.290920    -8.536409    -7.995224
-14.214976   -13.085999    -8.817484   -8.123281    -8.546964    -7.827582
-14.212543   -13.043884    -8.753165   -8.125490    -8.546356    -7.810584
-14.242043   -13.034281    -8.717840   -8.149054    -8.549759    -7.829902
-14.089778   -13.135739    -8.873476   -8.125810    -8.569599    -7.736262
-14.045476   -13.047073    -8.865296   -8.124994    -8.402258    -7.731248
-14.029955   -12.914411    -8.856806   -8.158409    -8.446479    -7.726745
-14.029955   -12.922153    -8.694723   -8.113457    -8.440870    -7.657429
-14.012830   -12.858009    -8.715746   -8.056669    -8.252359    -7.732467
-13.968576   -12.733292    -8.684744   -8.045190    -8.257582    -7.783216
-13.992978   -12.627041    -8.640010   -8.023208    -8.358785    -7.733781
-14.053497   -12.534675    -8.532045   -7.961042    -8.330329    -7.753623
-14.012813   -12.492624    -8.567785   -7.961216    -8.316499    -7.595481
-13.972325   -12.406255    -8.557656   -7.936234    -8.267742    -7.583213
-13.948652   -12.471954    -8.552164   -7.901305    -8.314857    -7.599332
-13.784288   -12.366250    -8.529309   -7.845204    -8.298368    -7.633283
-13.675779   -12.379745    -8.515420   -7.758289    -8.288087    -7.645267
-13.659963   -12.262379    -8.471011   -7.744410    -8.279731    -7.607023
-13.643501   -12.246714    -8.430371   -7.747365    -8.219399    -7.478273
-13.618457   -12.169443    -8.402339   -7.757736    -8.187738    -7.428309
