cherry       cherries      banana        apple       orange       pineapple   watermelon  paprika    pear
-14.611056   -13.764633    -13.363690    -9.848974   -11.58799    -12.574416  -11.802360  -11.408140 -12.141932
-14.446695   -13.799675    -13.340805    -9.518476   -11.38847    -12.308725  -11.693650  -11.297953 -12.165342
-14.367849   -13.750877    -13.326427    -9.536838   -11.21525    -12.308725  -11.518733  -11.209392 -11.887362
-14.309766   -13.805815    -13.310806    -9.588809   -11.23790    -12.305436  -11.524304  -11.356025 -11.994606
-14.243752   -13.737534    -13.252230    -9.703588   -11.20754    -12.293870  -11.509399  -11.278962 -11.945238
-14.209375   -13.710035    -13.209346    -9.685575   -11.14705    -12.118774  -11.433457  -11.180892 -11.899205
-14.167302   -13.541000    -13.187597    -9.669572   -11.16063    -12.030104  -11.159072  -11.079655 -11.829963
-14.129300   -13.534871    -13.153681    -9.597514   -11.15257    -11.925935  -11.082883  -10.985796 -11.867591
-14.055446   -13.502431    -13.099042    -9.669435   -11.03260    -11.928295  -11.022861  -11.009938 -11.737054
-14.020386   -13.547455    -13.099042    -9.561344   -10.90490    -11.868727  -11.071003  -10.830909 -11.610574
-14.020360   -13.517761    -13.075124    -9.393942   -10.87028    -11.860363  -11.081472  -10.910008 -11.583508
-13.875193   -13.457494    -13.068051    -9.368378   -10.77310    -11.912870  -11.081472  -10.774954 -11.504252
-13.904951   -13.347171    -13.003601    -9.347824   -10.67207    -11.899771  -11.038341  -10.752864 -11.425164
-13.832182   -13.345886    -12.966904    -9.237191   -10.73033    -11.967708  -11.032377  -10.632668 -11.331558
-13.812601   -13.249678    -12.973112    -9.093543   -10.79305    -11.969141  -10.924779  -10.536252 -11.302839
-13.617037   -13.178711    -12.953778    -8.967859   -10.73436    -11.951802  -10.834424  -10.495636 -11.297461
-13.549471   -13.152143    -12.806356    -8.985693   -10.59312    -11.954763  -10.738394  -10.561903 -11.203510
-13.545374   -13.230189    -12.789715    -8.776087   -10.60086    -11.902879  -10.716812  -10.305730 -11.212623
-13.563016   -13.176956    -12.822184    -8.789949   -10.52280    -11.920685  -10.588183  -10.096071 -10.921047
-13.574419   -13.175031    -12.821024    -8.891981   -10.50141    -11.883609  -10.611181  -10.106623 -10.859201
-13.566612   -13.107988    -12.783439    -8.824568   -10.48078    -11.831461  -10.530421  -9.989517  -10.815103
-13.545705   -13.045316    -12.783439    -8.735491   -10.34341    -11.754352  -10.531631  -9.965611  -10.758399
-13.508734   -13.029040    -12.791820    -8.662355   -10.31866    -11.747887  -10.495358  -9.899692  -10.748861
-13.483702   -13.104551    -12.779943    -8.539752   -10.25080    -11.687983  -10.408429  -9.885924  -10.729506
-13.436261   -13.082747    -12.782946    -8.426795   -10.27892    -11.697103  -10.391767  -9.845247  -10.680388
-13.436261   -13.014704    -12.720835    -8.323816   -10.31994    -11.606508  -10.374848  -9.810624  -10.664085
-13.348042   -12.988907    -12.585112    -8.322290   -10.23989    -11.649443  -10.243618  -9.752096  -10.542045
-13.372333   -13.003717    -12.523957    -8.179537   -10.15549    -11.610480  -10.269978  -9.768998  -10.573764
