de0          de20         de40         de60         de80         de100
-17.546844   -13.072383   -11.409387   -11.119415   -10.865651   -10.124903 
-17.611752   -13.177282   -11.341887   -10.895722   -10.808889   -10.025393 
-17.546991   -13.064420   -11.339465   -10.855040   -10.372359   -10.005156 
-17.548456   -13.197433   -11.282084   -10.884497   -10.368209    -9.960695 
-17.406031   -13.005719   -11.274434   -10.835840   -10.232746    -9.934245 
-17.195585   -12.879643   -11.007456   -10.651281   -10.349796    -9.872784 
-16.770489   -12.902369   -10.835658   -10.638005   -10.062820    -9.778521 
-16.683525   -12.765751   -10.835718   -10.539427   -10.062820    -9.732066 
-16.743526   -12.483981   -10.789660   -10.631032   -10.195952    -9.662086 
-16.775524   -12.562617   -10.731529   -10.423978   -10.124147    -9.683134 
-16.775524   -12.485904   -10.716136   -10.361021    -9.801504    -9.765388 
-16.392117   -12.247345   -10.682345   -10.263628    -9.844008    -9.754202 
-16.276644   -12.209287   -10.579450   -10.274893    -9.825382    -9.754202 
-16.233343   -11.904778   -10.418856   -10.238685    -9.830771    -9.605315 
-16.299084   -11.669835   -10.417666   -10.246278    -9.734295    -9.813722 
-16.180252   -11.634901   -10.297123   -10.213243    -9.589446    -9.768023 
-15.965810   -11.497602   -10.345092   -10.076193    -9.632648    -9.468119 
-15.823721   -11.412651   -10.277370   -10.135176    -9.625194    -9.269053 
-15.846713   -11.274196   -10.130132    -9.955801    -9.586126    -9.269053 
-15.673017   -11.271660   -10.114756    -9.924967    -9.243745    -9.229098 
-15.768606   -11.390131   -10.146439    -9.882203    -9.363379    -9.315763 
-15.746158   -11.388448    -9.968248    -9.780100    -9.442559    -9.361567 
-15.610776   -11.392815    -9.907439    -9.735544    -9.394388    -9.324539 
-14.928576   -11.357210    -9.958151    -9.729155    -9.593135    -9.415851 
-14.912420   -11.195315    -9.702213    -9.568841    -9.554484    -9.501643 
-15.016731   -11.096334    -9.590019    -9.556889    -9.534160    -9.455606 
-14.957705   -11.095457    -9.515477    -9.513182    -9.407629    -9.514688 
-14.544124   -10.880053    -9.415827    -9.489283    -9.407252    -9.217257 
-14.418810   -10.859777    -9.407814    -9.470409    -9.416958    -9.315125 
-14.430252   -10.832431    -9.427724    -9.453741    -9.132837    -9.250082 
-14.398273   -10.832431    -9.365738    -9.563242    -9.127269    -9.066323 
-14.233264   -10.837481    -9.275064    -9.207711    -9.033174    -9.001921 
-14.223475   -10.705721    -9.233849    -8.905820    -9.067472    -8.838354 
-14.046414   -10.695457    -9.233849    -8.879591    -9.071959    -8.838354 
-13.984233   -10.733021    -9.101224    -8.890284    -8.537695    -8.778924 
-13.984233   -10.705998    -9.103151    -9.029010    -8.666265    -8.609134 
-13.981557   -10.517204    -8.855894    -8.970722    -8.645017    -8.696029 
-14.032944   -10.623146    -8.913192    -8.954945    -8.641120    -8.635825 
-13.747128   -10.586579    -8.820679    -8.941592    -8.480762    -8.554879 
-13.707788   -10.612610    -8.792397    -9.062473    -8.380297    -8.816673 
-13.707788   -10.592058    -8.959323    -8.999262    -8.358866    -8.859228 
-13.707788   -10.482233    -8.931129    -8.871195    -8.341750    -8.817740 
-13.722168   -10.478926    -8.924459    -8.700083    -8.380256    -8.866296 
-13.685204   -10.311651    -8.853706    -8.500287    -8.391403    -8.697107 
-13.343901   -10.266644    -8.663023    -8.213331    -8.391403    -8.710071 
-13.342957   -10.372663    -8.663023    -8.204903    -8.536972    -8.741342 
-13.273135   -10.330956    -8.663023    -8.211768    -8.468421    -8.642909 
-13.273135   -10.347939    -8.584261    -8.395808    -8.343575    -8.621260 
-13.225780   -10.323427    -8.620195    -8.378038    -8.296930    -8.642900 
-13.098392   -10.316256    -8.645385    -8.340071    -8.317329    -8.579178 
-13.098392   -10.240636    -8.686140    -8.188244    -8.295034    -8.527867 
-13.112407   -10.175634    -8.745196    -8.050862    -8.207610    -8.521013 
-12.981886   -10.009261    -8.698665    -8.220604    -8.115935    -8.464251 
-12.739727    -9.998009    -8.642702    -8.201756    -8.115935    -8.319602 
-12.739727   -10.000480    -8.628881    -8.153028    -8.059817    -8.289389 
-12.715199   -10.000480    -8.604086    -8.018136    -8.084717    -8.068578 
-12.709358   -10.000480    -8.566866    -7.963589    -7.971854    -7.968834 
-12.703412    -9.985494    -8.602085    -7.809441    -8.029479    -8.262853 
-12.590309    -9.885749    -8.568602    -7.801170    -8.015356    -8.242548 
-12.647349    -9.867980    -8.567709    -7.674673    -7.967362    -8.144289 
-12.604665    -9.809812    -8.475423    -7.797496    -8.052431    -8.108009 
-12.522619    -9.805581    -8.458827    -7.952467    -7.965343    -8.078943 
-12.552762    -9.796414    -8.397324    -7.817509    -7.966655    -8.054862 
-12.506151    -9.763575    -8.360145    -7.838982    -7.876785    -8.006071 
-12.506151    -9.759703    -8.350162    -7.809001    -7.820517    -8.037472 
-12.506151    -9.721157    -8.386499    -7.801106    -7.782675    -8.008254 
-12.289053    -9.742918    -8.330212    -7.811635    -7.782675    -7.881281 
-12.289053    -9.528553    -8.327382    -7.766463    -7.782735    -7.799586 
-12.310298    -9.501314    -8.370886    -7.730447    -7.700665    -7.838840 
-12.306765    -9.424700    -8.369710    -7.644483    -7.719195    -7.803787 
-12.311537    -9.424700    -8.326332    -7.750836    -7.749915    -7.807650 
-12.311537    -9.424271    -8.321901    -7.736600    -7.782693    -7.966414 
-12.271443    -9.424271    -8.273458    -7.657716    -7.793732    -8.031206 
-12.254329    -9.431141    -8.242717    -7.619246    -7.824108    -8.128501 
-12.227787    -9.378273    -8.264016    -7.516260    -7.792947    -8.007115 
-12.011758    -9.358119    -8.203237    -7.284813    -7.591625    -7.781411 
-12.005148    -9.357122    -8.203237    -7.206005    -7.575484    -7.748057 
-11.983044    -9.363048    -8.203237    -7.201249    -7.591496    -7.651784 
-11.973582    -9.364045    -8.191072    -7.204690    -7.602365    -7.612394 
-12.002296    -9.364045    -8.189027    -7.219629    -7.538335    -7.617658 
-11.987552    -9.381455    -8.171878    -7.242420    -7.491721    -7.616920 
-11.999800    -9.371121    -8.148121    -7.226587    -7.470078    -7.521581 
-11.999800    -9.368902    -8.025656    -7.232276    -7.469350    -7.624743 
-11.968051    -9.337570    -7.980367    -7.235002    -7.485491    -7.598926 
-11.933203    -9.340976    -7.946954    -7.205718    -7.453432    -7.671087 
-11.924625    -9.339511    -7.940752    -7.218581    -7.396855    -7.607746 
-11.931280    -9.339511    -7.884779    -7.182427    -7.385562    -7.641871 
-11.936014    -9.203765    -7.890547    -7.181667    -7.372073    -7.683352 
-11.939857    -9.273341    -7.851918    -7.111267    -7.370650    -7.660275 
-11.836931    -9.278649    -7.845659    -7.098742    -7.310267    -7.624999 
-11.849455    -9.278649    -7.796105    -7.088902    -7.327422    -7.652537 
-11.849300    -9.248113    -7.803048    -7.098536    -7.318700    -7.598367 
-11.800738    -9.227884    -7.777010    -7.066925    -7.328473    -7.509279 
-11.800738    -9.238909    -7.782127    -7.053773    -7.297109    -7.579935 
-11.799641    -9.242954    -7.782127    -7.042104    -7.332372    -7.550694 
-11.819834    -9.231269    -7.820209    -7.035312    -7.361552    -7.491341 
-11.750433    -9.239214    -7.792488    -7.127164    -7.416956    -7.512597 
-11.740130    -9.208429    -7.781837    -7.124959    -7.301707    -7.523283 
-11.741228    -9.179882    -7.764822    -7.122072    -7.309798    -7.509367 
-11.721750    -9.129306    -7.764822    -7.144464    -7.358054    -7.515964 
-11.707083    -9.134085    -7.767507    -7.136338    -7.307134    -7.530608 
-11.654926    -9.130277    -7.774684    -7.139297    -7.306379    -7.602113 
-11.690352    -9.128190    -7.759099    -7.115983    -7.276982    -7.566071 
-11.683908    -9.128190    -7.739467    -7.028437    -7.206416    -7.499268 
-11.673941    -9.099665    -7.739795    -6.996890    -7.210021    -7.402389 
-11.669547    -9.097823    -7.771394    -6.970351    -7.146104    -7.404195 
-11.610265    -9.103912    -7.709451    -6.943184    -7.152125    -7.349611 
-11.660474    -9.109570    -7.698982    -6.943184    -7.133588    -7.351900 
-11.628797    -9.091626    -7.698982    -6.969522    -7.133588    -7.422837 
-11.606577    -9.094175    -7.695114    -6.949880    -7.108459    -7.356356 
-11.606577    -9.092174    -7.644540    -6.955147    -7.014036    -7.356356 
-11.606577    -9.092174    -7.671153    -6.900950    -6.977539    -7.370515 
-11.601887    -9.084406    -7.647128    -6.863882    -7.022667    -7.364817 
-11.601887    -9.072973    -7.633683    -6.810647    -7.244633    -7.366804 
